idx,question,sql,tables,shape_id,group,group_size
10,Which roof type showed the strongest correlation between daily precipitation and daily outflow?,"WITH daily_rain AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(Rain) AS rain
  FROM wetter
  GROUP BY
    1
), daily_outflow AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(Kies_Efflux) AS Kies,
    SUM(Extensiv1_Efflux) AS Extensiv1,
    SUM(Extensiv2_Efflux) AS Extensiv2,
    SUM(Sumpf2_Efflux) AS Sumpf2,
    SUM(Zeitlysi_Efflux_x) AS Zeitlysi,
    SUM(Sensorlysi_Efflux_x) AS Sensorlysi
  FROM outflow
  GROUP BY
    1
), joined AS (
  SELECT
    r.rain,
    o.Kies,
    o.Extensiv1,
    o.Extensiv2,
    o.Sumpf2,
    o.Zeitlysi,
    o.Sensorlysi
  FROM daily_rain AS r
  JOIN daily_outflow AS o
    USING (day)
), corrs AS (
  SELECT
    'Kies_gravel' AS roof,
    CORR(rain, Kies) AS corr
  FROM joined
  UNION ALL
  SELECT
    'Extensiv1_smart_irrigated',
    CORR(rain, Extensiv1)
  FROM joined
  UNION ALL
  SELECT
    'Extensiv2_non_irrigated',
    CORR(rain, Extensiv2)
  FROM joined
  UNION ALL
  SELECT
    'Sumpf2_wetland',
    CORR(rain, Sumpf2)
  FROM joined
  UNION ALL
  SELECT
    'Zeitlysi_small_timer',
    CORR(rain, Zeitlysi)
  FROM joined
  UNION ALL
  SELECT
    'Sensorlysi_small_threshold',
    CORR(rain, Sensorlysi)
  FROM joined
)
SELECT
  roof,
  corr
FROM corrs
ORDER BY
  ABS(corr) DESC
LIMIT 1","['outflow', 'wetter']",9,7,2
11,How did daily outflow from the wetland roof compare on days with at least 10 mm precipitation?,"WITH daily_outflow AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(Sumpf2_Efflux) AS wetland_outflow_liters
  FROM outflow
  GROUP BY
    1
), daily_rain AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(Rain) AS daily_precipitation_mm
  FROM wetter
  GROUP BY
    1
)
SELECT
  o.day,
  o.wetland_outflow_liters,
  r.daily_precipitation_mm
FROM daily_outflow AS o
JOIN daily_rain AS r
  USING (day)
WHERE
  r.daily_precipitation_mm >= 10
ORDER BY
  o.day","['outflow', 'wetter']",10,8,1
12,How often did the wetland roof produce > 2500 milliliter daily outflow?,"SELECT
  COUNT(*) AS days_more_2500_ml
FROM (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(Sumpf2_Efflux) AS wetland
  FROM outflow
  GROUP BY
    DATE_TRUNC('DAY', timestamp)
) AS t
WHERE
  wetland > 2.5",['outflow'],11,9,1
13,What was the median difference in monthly outflow between the threshold-irrigated and timer-irrigated substrate lysimeters?,"SELECT
  MEDIAN(Sensorlysi_monthly - Zeitlysi_monthly) AS median_diff
FROM (
  SELECT
    DATE_TRUNC('MONTH', timestamp) AS month,
    SUM(Sensorlysi_Efflux_x) AS Sensorlysi_monthly,
    SUM(Zeitlysi_Efflux_x) AS Zeitlysi_monthly
  FROM outflow
  GROUP BY
    DATE_TRUNC('MONTH', timestamp)
) AS t",['outflow'],12,10,2
14,"On days with at least 10 mm precipitation, which lysimeter had the highest average runoff response?","WITH rainy_days AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day
  FROM wetter
  GROUP BY
    1
  HAVING
    SUM(Rain) >= 10
), daily_outflow AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(Kies_Efflux) AS Kies_Efflux,
    SUM(Extensiv1_Efflux) AS Extensiv1_Efflux,
    SUM(Extensiv2_Efflux) AS Extensiv2_Efflux,
    SUM(Sumpf2_Efflux) AS Sumpf2_Efflux,
    SUM(Zeitlysi_Efflux_x) AS Zeitlysi_Efflux_x,
    SUM(Sensorlysi_Efflux_x) AS Sensorlysi_Efflux_x
  FROM outflow
  GROUP BY
    1
), avg_runoff AS (
  SELECT
    'Kies_Efflux' AS lysimeter,
    AVG(Kies_Efflux) AS avg_runoff
  FROM daily_outflow AS d
  JOIN rainy_days AS r
    USING (day)
  UNION ALL
  SELECT
    'Extensiv1_Efflux',
    AVG(Extensiv1_Efflux)
  FROM daily_outflow AS d
  JOIN rainy_days AS r
    USING (day)
  UNION ALL
  SELECT
    'Extensiv2_Efflux',
    AVG(Extensiv2_Efflux)
  FROM daily_outflow AS d
  JOIN rainy_days AS r
    USING (day)
  UNION ALL
  SELECT
    'Sumpf2_Efflux',
    AVG(Sumpf2_Efflux)
  FROM daily_outflow AS d
  JOIN rainy_days AS r
    USING (day)
  UNION ALL
  SELECT
    'Zeitlysi_Efflux_x',
    AVG(Zeitlysi_Efflux_x)
  FROM daily_outflow AS d
  JOIN rainy_days AS r
    USING (day)
  UNION ALL
  SELECT
    'Sensorlysi_Efflux_x',
    AVG(Sensorlysi_Efflux_x)
  FROM daily_outflow AS d
  JOIN rainy_days AS r
    USING (day)
)
SELECT
  lysimeter,
  avg_runoff
FROM avg_runoff
ORDER BY
  avg_runoff DESC
LIMIT 1","['outflow', 'wetter']",13,11,1
15,How many days had runoff from the gravel roof exceeding more than 0.8 of precipitation?,"WITH outflow_daily AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(Kies_Efflux) AS runoff
  FROM outflow
  GROUP BY
    1
), weather_daily AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(Rain) AS rain
  FROM wetter
  GROUP BY
    1
)
SELECT
  COUNT(*)
FROM (
  SELECT
    o.day,
    o.runoff,
    w.rain
  FROM outflow_daily AS o
  JOIN weather_daily AS w
    ON o.day = w.day
  WHERE
    w.rain > 0 AND o.runoff > 0.8 * w.rain
) AS t","['outflow', 'wetter']",14,12,1
16,How often did the irrigated extensive roof have daily outflow greater than the non-irrigated extensive roof by at least 5 liters?,"SELECT
  COUNT(*)
FROM (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(Extensiv1_Efflux) AS smart_irr_outflow,
    SUM(Extensiv2_Efflux) AS non_irr_outflow
  FROM outflow
  GROUP BY
    DATE_TRUNC('DAY', timestamp)
) AS t
WHERE
  smart_irr_outflow - non_irr_outflow >= 5",['outflow'],15,13,1
17,What was the average monthly difference in outflow between the irrigated extensive and non-irrigated extensive green roofs?,"SELECT
  DATE_TRUNC('MONTH', timestamp) AS month,
  AVG(Extensiv1_Efflux - Extensiv2_Efflux) AS avg_diff
FROM outflow
GROUP BY
  DATE_TRUNC('MONTH', timestamp)
ORDER BY
  month",['outflow'],16,14,7
18,Which calendar month had the greatest difference in total outflow between the gravel roof and the non-irrigated extensive green roof?,"SELECT
  DATE_TRUNC('MONTH', timestamp) AS month,
  SUM(Kies_Efflux) - SUM(Extensiv2_Efflux) AS diff
FROM outflow
GROUP BY
  month
ORDER BY
  ABS(SUM(Kies_Efflux) - SUM(Extensiv2_Efflux)) DESC
LIMIT 1",['outflow'],17,15,1
19,"For each roof type, how did mean daily outflow change across individual calendar months with at least 30 mm of total precipitation?","WITH daily_outflow AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(Kies_Efflux) AS gravel_outflow,
    SUM(Extensiv1_Efflux) AS ext_smart_irrigated_outflow,
    SUM(Extensiv2_Efflux) AS ext_non_irrigated_outflow,
    SUM(Sumpf2_Efflux) AS wetland,
    SUM(Zeitlysi_Efflux_x) AS small_timer_outflow,
    SUM(Sensorlysi_Efflux_x) AS small_threshold_outflow
  FROM outflow
  GROUP BY
    DATE_TRUNC('DAY', timestamp)
), monthly_rain AS (
  SELECT
    DATE_TRUNC('MONTH', timestamp) AS month,
    SUM(Rain) AS total_rain_mm
  FROM wetter
  GROUP BY
    DATE_TRUNC('MONTH', timestamp)
  HAVING
    SUM(Rain) >= 30
)
SELECT
  DATE_TRUNC('MONTH', d.day) AS month,
  mr.total_rain_mm,
  AVG(d.gravel_outflow) AS avg_daily_gravel_outflow_l,
  AVG(d.ext_smart_irrigated_outflow) AS avg_daily_ext_irrigated_outflow_l,
  AVG(d.ext_non_irrigated_outflow) AS avg_daily_ext_nonirrigated_outflow_l,
  AVG(d.wetland) AS avg_daily_wetland,
  AVG(d.small_timer_outflow) AS avg_daily_small_timer_outflow_l,
  AVG(d.small_threshold_outflow) AS avg_daily_small_threshold_outflow_l
FROM daily_outflow AS d
JOIN monthly_rain AS mr
  ON DATE_TRUNC('MONTH', d.day) = mr.month
GROUP BY
  DATE_TRUNC('MONTH', d.day),
  mr.total_rain_mm
ORDER BY
  month","['outflow', 'wetter']",18,3,4
20,What was the ratio of wetland roof outflow to gravel roof outflow for each calendar month?,"SELECT
  DATE_TRUNC('MONTH', timestamp) AS month,
  SUM(COALESCE(Sumpf2_Efflux, 0)) / NULLIF(SUM(Kies_Efflux), 0) AS wetland_to_gravel_ratio
FROM outflow
GROUP BY
  DATE_TRUNC('MONTH', timestamp)
ORDER BY
  month",['outflow'],19,16,2
21,How many days had all vegetated roofs producing less outflow than the gravel roof?,"SELECT
  COUNT(*)
FROM (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(Kies_Efflux) AS kies,
    SUM(Extensiv1_Efflux) AS ex_smart_irrigated,
    SUM(Extensiv2_Efflux) AS ex_non_irrigated,
    SUM(Zeitlysi_Efflux_x) AS ex_timer,
    SUM(Sensorlysi_Efflux_x) AS ex2_threshold,
    SUM(Sumpf2_Efflux) AS sumpf
  FROM outflow
  GROUP BY
    DATE_TRUNC('DAY', timestamp)
) AS t
WHERE
  ex_smart_irrigated < kies
  AND ex_non_irrigated < kies
  AND sumpf < kies
  AND ex_timer < kies
  AND ex2_threshold < kies",['outflow'],20,17,1
22,How many days did the wetland roof produce less outflow than both extensive green roof segments?,"SELECT
  COUNT(*) AS days
FROM (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(Sumpf2_Efflux) AS wetland,
    SUM(Extensiv1_Efflux + Extensiv2_Efflux) AS ex
  FROM outflow
  GROUP BY
    DATE_TRUNC('DAY', timestamp)
) AS t
WHERE
  wetland < ex",['outflow'],21,18,1
23,"On days with daily precipitation between 5 and 20 mm, which roof type retained the largest share of precipitation?","WITH daily_rain AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(Rain) AS rain_mm
  FROM wetter
  GROUP BY
    1
  HAVING
    SUM(Rain) BETWEEN 5 AND 20
), daily_out AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(Kies_Efflux) AS gravel,
    SUM(Extensiv1_Efflux) AS extensive_smart_irrigated,
    SUM(Extensiv2_Efflux) AS extensive_non_irrigated,
    SUM(Sumpf2_Efflux) AS wetland
  FROM outflow
  GROUP BY
    1
), j AS (
  SELECT
    r.day,
    r.rain_mm,
    o.gravel,
    o.extensive_smart_irrigated,
    o.extensive_non_irrigated,
    o.wetland
  FROM daily_rain AS r
  JOIN daily_out AS o
    USING (day)
), unp AS (
  SELECT
    day,
    rain_mm,
    'gravel' AS roof,
    gravel AS efflux_l
  FROM j
  UNION ALL
  SELECT
    day,
    rain_mm,
    'extensive_smart_irrigated',
    extensive_smart_irrigated
  FROM j
  UNION ALL
  SELECT
    day,
    rain_mm,
    'extensive_non_irrigated',
    extensive_non_irrigated
  FROM j
  UNION ALL
  SELECT
    day,
    rain_mm,
    'wetland',
    wetland
  FROM j
)
SELECT
  roof,
  SUM(rain_mm) AS total_rain_mm,
  SUM(efflux_l) AS total_efflux_l,
  1 - SUM(efflux_l) / NULLIF(SUM(rain_mm), 0) AS relative_retention_score
FROM unp
GROUP BY
  roof
ORDER BY
  total_efflux_l ASC
LIMIT 1","['outflow', 'wetter']",22,19,2
24,"On days with daily precipitation above 3 mm, which roof type retained the smallest share of precipitation?","WITH daily_rain AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(Rain) AS rain
  FROM wetter
  GROUP BY
    1
  HAVING
    SUM(Rain) > 3
), daily_outflow AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(Kies_Efflux) AS Kies,
    SUM(Extensiv1_Efflux) AS Extensiv1,
    SUM(Extensiv2_Efflux) AS Extensiv2,
    SUM(Sumpf2_Efflux) AS Sumpf2,
    SUM(Zeitlysi_Efflux_x) AS Zeitlysi,
    SUM(Sensorlysi_Efflux_x) AS Sensorlysi
  FROM outflow
  GROUP BY
    1
), joined AS (
  SELECT
    r.day,
    r.rain,
    o.Kies,
    o.Extensiv1,
    o.Extensiv2,
    o.Sumpf2,
    o.Zeitlysi,
    o.Sensorlysi
  FROM daily_rain AS r
  JOIN daily_outflow AS o
    USING (day)
), unp AS (
  SELECT
    roof,
    SUM(outflow_l) AS total_out,
    SUM(rain) AS total_rain
  FROM (
    SELECT
      day,
      rain,
      'gravel roof' AS roof,
      Kies AS outflow_l
    FROM joined
    UNION ALL
    SELECT
      day,
      rain,
      'smart irrigated extensive green roof',
      Extensiv1
    FROM joined
    UNION ALL
    SELECT
      day,
      rain,
      'non-irrigated extensive green roof',
      Extensiv2
    FROM joined
    UNION ALL
    SELECT
      day,
      rain,
      'wetland green',
      Sumpf2
    FROM joined
    UNION ALL
    SELECT
      day,
      rain,
      'small lysimeter (timer)',
      Zeitlysi
    FROM joined
    UNION ALL
    SELECT
      day,
      rain,
      'small lysimeter (threshold)',
      Sensorlysi
    FROM joined
  )
  GROUP BY
    roof
)
SELECT
  roof,
  1 - (
    total_out / NULLIF(total_rain, 0)
  ) AS retention_share
FROM unp
ORDER BY
  retention_share ASC
LIMIT 1","['outflow', 'wetter']",23,19,2
25,What was the average soil moisture for each roof type by individual calendar month?,"SELECT
  DATE_TRUNC('MONTH', timestamp) AS month,
  AVG(QGravel) AS avg_gravel,
  AVG(QEx1) AS avg_smart_irrigated_extensive,
  AVG(QEx2) AS avg_non_irrigated_extensive,
  AVG(QIn) AS avg_intensive,
  AVG(QWetland) AS avg_wetland
FROM swc
GROUP BY
  DATE_TRUNC('MONTH', timestamp)
ORDER BY
  month",['swc'],16,14,7
26,Which roof type had the lowest 10th percentile soil moisture during the monitoring period?,"SELECT
  roof_type
FROM (
  SELECT
    'gravel' AS roof_type,
    QUANTILE_CONT(QGravel, 0.1) AS p10
  FROM swc
  UNION ALL
  SELECT
    'smart irrigated extensive',
    QUANTILE_CONT(QEx1, 0.1)
  FROM swc
  UNION ALL
  SELECT
    'non-irrigated extensive',
    QUANTILE_CONT(QEx2, 0.1)
  FROM swc
  UNION ALL
  SELECT
    'intensive',
    QUANTILE_CONT(QIn, 0.1)
  FROM swc
  UNION ALL
  SELECT
    'wetland',
    QUANTILE_CONT(QWetland, 0.1)
  FROM swc
)
ORDER BY
  p10 ASC
LIMIT 1",['swc'],24,20,1
27,How many days did the non-irrigated extensive roof daily mean soil moisture fall below 15%?,"SELECT
  COUNT(*)
FROM (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    AVG(QEx2) AS moisture
  FROM swc
  GROUP BY
    DATE_TRUNC('DAY', timestamp)
) AS t
WHERE
  moisture < 15",['swc'],25,21,1
28,How many observations do we have when irrigated extensive roof soil moisture falls below 15% while non-irrigated falls bellow 10%?,"SELECT
  COUNT(*)
FROM swc
WHERE
  QEx1 < 15 AND QEx2 < 10",['swc'],26,22,4
29,How did median soil moisture differ between the irrigated and non-irrigated extensive roofs over the whole observation period?,"SELECT
  MEDIAN(QEx1) AS median_swc_smart_irrigated,
  MEDIAN(QEx2) AS median_swc_non_irrigated,
  MEDIAN(QEx1) - MEDIAN(QEx2) AS difference
FROM swc",['swc'],27,23,10
30,What was the average daily soil moisture difference between the wetland roof and the gravel roof?,"SELECT
  AVG(daily_wetland - daily_gravel) AS avg_daily_swc_diff_wetland_minus_gravel
FROM (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    AVG(QWetland) AS daily_wetland,
    AVG(QGravel) AS daily_gravel
  FROM swc
  GROUP BY
    DATE_TRUNC('DAY', timestamp)
) AS t",['swc'],12,10,2
